CUSEC,Nivel,NOTA1,vivienda turistica,unidad1,nota2,plazas,unidad2,nota3,plazas por vivienda turistica,unidad3,nota4,Porcentaje vivienda turistica,UNIDAD4,PERIODO,PROV,PROV_LITERAL,MUN,MUN_LITERAL
0100101002,Secciones,,1,Viviendas,,2,Plazas,,2.0,Plazas,,0.151515151515152,Porcentaje,2025M05,1,Araba/Álava,1001,Alegría-Dulantzi
0100101001,Secciones,,1,Viviendas,,9,Plazas,,9.0,Plazas,,0.158730158730159,Porcentaje,2025M05,1,Araba/Álava,1001,Alegría-Dulantzi
0100201002,Secciones,,1,Viviendas,,6,Plazas,,6.0,Plazas,,0.120772946859903,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100201005,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100201004,Secciones,,1,Viviendas,,5,Plazas,,5.0,Plazas,,0.117647058823529,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100201001,Secciones,,6,Viviendas,,41,Plazas,,6.83333333333333,Plazas,,0.628930817610063,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100201007,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100201003,Secciones,,5,Viviendas,,25,Plazas,,5.0,Plazas,,0.714285714285714,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100201006,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1002,Amurrio
0100301001,Secciones,,4,Viviendas,,22,Plazas,,5.5,Plazas,,0.54945054945055,Porcentaje,2025M05,1,Araba/Álava,1003,Aramaio
0100401001,Secciones,,2,Viviendas,,24,Plazas,,12.0,Plazas,,0.17636684303351,Porcentaje,2025M05,1,Araba/Álava,1004,Artziniega
0100601001,Secciones,,1,Viviendas,,8,Plazas,,8.0,Plazas,,0.617283950617284,Porcentaje,2025M05,1,Araba/Álava,1006,Armiñón
0100801001,Secciones,,2,Viviendas,,6,Plazas,,3.0,Plazas,,0.3690036900369,Porcentaje,2025M05,1,Araba/Álava,1008,Arratzua-Ubarrundia
0100901001,Secciones,,4,Viviendas,,34,Plazas,,8.5,Plazas,,0.355239786856128,Porcentaje,2025M05,1,Araba/Álava,1009,Asparrena
0101001002,Secciones,,1,Viviendas,,14,Plazas,,14.0,Plazas,,0.171232876712329,Porcentaje,2025M05,1,Araba/Álava,1010,Ayala/Aiara
0101001001,Secciones,,8,Viviendas,,39,Plazas,,4.875,Plazas,,0.83073727933541,Porcentaje,2025M05,1,Araba/Álava,1010,Ayala/Aiara
0101101001,Secciones,,1,Viviendas,,4,Plazas,,4.0,Plazas,,0.403225806451613,Porcentaje,2025M05,1,Araba/Álava,1011,Baños de Ebro/Mañueta
0101301001,Secciones,,2,Viviendas,,6,Plazas,,3.0,Plazas,,0.357142857142857,Porcentaje,2025M05,1,Araba/Álava,1013,Barrundia
0101401001,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1014,Berantevilla
0101601001,Secciones,,2,Viviendas,,21,Plazas,,10.5,Plazas,,0.324149108589951,Porcentaje,2025M05,1,Araba/Álava,1016,Bernedo
0101701001,Secciones,,8,Viviendas,,38,Plazas,,4.75,Plazas,,0.829875518672199,Porcentaje,2025M05,1,Araba/Álava,1017,Campezo/Kanpezu
0101801001,Secciones,,9,Viviendas,,45,Plazas,,5.0,Plazas,,0.922131147540984,Porcentaje,2025M05,1,Araba/Álava,1018,Zigoitia
0101901001,Secciones,,1,Viviendas,,14,Plazas,,14.0,Plazas,,0.709219858156028,Porcentaje,2025M05,1,Araba/Álava,1019,Kripan
0102001001,Secciones,,2,Viviendas,,12,Plazas,,6.0,Plazas,,0.60790273556231,Porcentaje,2025M05,1,Araba/Álava,1020,Kuartango
0102101001,Secciones,,4,Viviendas,,14,Plazas,,3.5,Plazas,,1.36518771331058,Porcentaje,2025M05,1,Araba/Álava,1021,Elburgo/Burgelu
0102201001,Secciones,,8,Viviendas,,59,Plazas,,7.375,Plazas,,0.979192166462668,Porcentaje,2025M05,1,Araba/Álava,1022,Elciego
0102301001,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1023,Elvillar/Bilar
0102701001,Secciones,,1,Viviendas,,2,Plazas,,2.0,Plazas,,0.335570469798658,Porcentaje,2025M05,1,Araba/Álava,1027,Iruraiz-Gauna
0102801001,Secciones,,10,Viviendas,,73,Plazas,,7.3,Plazas,,0.514668039114771,Porcentaje,2025M05,1,Araba/Álava,1028,Labastida/Bastida
0103001001,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1030,Lagrán
0103101001,Secciones,,26,Viviendas,,136,Plazas,,5.23076923076923,Plazas,,1.89090909090909,Porcentaje,2025M05,1,Araba/Álava,1031,Laguardia
0103201001,Secciones,,14,Viviendas,,79,Plazas,,5.64285714285714,Plazas,,2.08643815201192,Porcentaje,2025M05,1,Araba/Álava,1032,Lanciego/Lantziego
0103301001,Secciones,,6,Viviendas,,40,Plazas,,6.66666666666667,Plazas,,0.943396226415094,Porcentaje,2025M05,1,Araba/Álava,1033,Lapuebla de Labarca
0103401001,Secciones,,6,Viviendas,,47,Plazas,,7.83333333333333,Plazas,,2.18181818181818,Porcentaje,2025M05,1,Araba/Álava,1034,Leza
0103601006,Secciones,,0,Viviendas,,0,Plazas,Área sin viviendas turísticas. No se proporciona el dato por carecer de sentido.,0.0,Plazas,,0.0,Porcentaje,2025M05,1,Araba/Álava,1036,Laudio/Llodio
